,Ship type emissions,CO2 emissions ship type,Container company bigger emitters,CO2 emissions (Mt),Cruise company biggest emitters,CO2 (Mt)	,Name bigger emitters ships,ktCO2,Ship type big single emitters,Company
0,Container ship,54226862.11,MSC,10641279.47,Carnival Corporation,2505841.77,MSC WORLD EUROPA,140601.08,Passenger ship,MSC
1,Oil tanker,18533177.94,A.P. Moller,6676538.8,MSC,1412251.19,CRUISE BARCELONA,126577.54,Ro-pax ship,Grimaldi Group
2,Bulk carrier,15159430.49,CMA CGM,4795349.65,NCL Holdings,828365.57,RIBERA DEL DUERO KNUTSEN,124859.93,LNG carrier,Knutsen OAS Shipping
3,Ro-pax ship,13839163.93,China COSCO Shipping,3291862.61,Royal Caribbean,744007.61,CMA CGM BENJAMIN FRANKLIN,117926.53,Container ship,CMA CGM
4,LNG carrier,8996684.01,Atlas Corp (Seaspan),1933924.29,Global Fleet,287891.38,IONA,116915.65,Passenger ship,Carnival Corporation
5,Chemical tanker,8495131.45,Anglo-Eastern Group,1809729.49,Columbia Cruise,256033.85,CRUISE ROMA,111440.09,Ro-pax ship,Grimaldi Group
6,Passenger ship,7506858.53,Evergreen Marine,1492699.2,Schulte Group,205344.56,MSC FANTASIA,110462.64,Passenger ship,MSC
7,Ro-ro ship,5382524.63,Schulte Group,1324283.34,WW Group,144800.85,VLADIMIR VIZE,109843.7,LNG carrier,Mitsui OSK Lines
8,General cargo ship,5318976.67,HMM,976535.3,Fred Olsen & Co,138282.69,EBBA MAERSK,109211.92,Container ship,A.P. Moller
9,Vehicle carrier,4444995.93,Technomar Shipping,969201.74,V. Group,119680.65,VENTURA,108582.44,Passenger ship,Carnival Corporation
